Compound_Name,MOL_WEIGHT,IC50,Target Name,SMILES
 CHEMBL170406,438.42,0.5,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(-c2ccc(NC(=O)CCCC(=O)[O-])cc2)cc(-c2ccccc2O)nc1N.[Na+]
 CHEMBL3980848,478.89,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(F)cc2F)c2c1CCc1ccc(NC(=O)c3ccccc3Cl)cc1-2
(-)-Kurarinone,438.52,0.6,PTGS1 - prostaglandin-endoperoxide synthase 1,CC(=CCC(CC1=C2C(=C(C=C1O)OC)C(=O)C[C@H](O2)C3=C(C=C(C=C3)O)O)C(=C)C)C
"1,4-Naphthoquinone",158.156,0.34,MAP2K1 - mitogen-activated protein kinase kinase 1,C1=CC=C2C(=O)C=CC(=O)C2=C1
13-DEOXYDOXORUBICIN,529.542,0.891,U2OS,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(CCO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
370572-36-4,374.655,0.6,BCL2A1 - BCL2 related protein A,CN1CCN(CC1)C2=C(C(=O)N(C2=O)C3=CC(=C(C=C3)Cl)Cl)Cl
5-Desmethylsinensetin,358.346,0.9,CYP1A2 - cytochrome P450 family 1 subfamily A member 2,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)O)OC
5-FLUOROURIDINE,262.193,2.60E-05,K562,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1F
7-Deoxykalafungin,284.267,0.28,RAC-alpha serine/threonine-protein kinase,C[C@H]1O[C@@H]2CC(=O)O[C@@H]2C2=C1C(=O)c1ccccc1C2=O
7-ETHYL-10-HYDROXYCAMPTOTHECIN,392.411,0.018,L02,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
9-Aminocamptothecin,363.373,0.11,TOP1 - DNA topoisomerase I (human),CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC=C5N=C4C3=C2)N)O
A-443654,397.482,0.00016,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12
ABIVERTINIB,487.539,0.00017,EGFR,CN1CCN(CC1)C2=C(C=C(C=C2)NC3=NC4=C(C=CN4)C(=N3)OC5=CC=CC(=C5)NC(=O)C=C)F
ADENOSINE DIPHOSPHATE,427.203,0.0038,5'-nucleotidase,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
AEE-788,440.595,0.002,Epidermal growth factor receptor erbB1,CCN1CCN(Cc2ccc(-c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)cc2)CC1
AFATINIB,485.947,2.00E-05,EGFR,CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4
AFURESERTIB,427.332,0.001,RAC-alpha serine/threonine-protein kinase,Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl
AKT-IN-2,505.589,0.092,RAC-alpha serine/threonine-protein kinase,C[C@@H]1CC(=O)Nc2ncnc(N3CCC(c4nc(CCC(F)(F)F)cn4CCN4CCCC4)CC3)c21
ALPELISIB,441.479,0.005,PI3-kinase p110-alpha subunit,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F
AMETANTRONE,412.49,0.00017,HeLa,O=C1c2ccccc2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
AMOXAPINE,313.788,0.01,5-hydroxytryptamine receptor 2B,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
AMRUBICIN HYDROCHLORIDE,519.934,0.82,A549,CC(=O)[C@]1(N)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](O)[C@H](O)CO2)C1)C(=O)c1ccccc1C3=O.Cl
AMSACRINE,393.468,0.08,HL-60,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
ANASTROZOLE,293.374,0.015,Cytochrome P450 19A1,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1
AS-602868,366.4,0.062,Inhibitor of nuclear factor kappa-B kinase subunit beta,COc1cccc2nc(-c3cccs3)nc(NN3C(=O)C=C(C)C3=O)c12
ASOPRISNIL,449.591,0.0003,Progesterone receptor,COC[C@]1(OC)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(/C=N/O)cc3)C[C@@]21C
AT-13148,313.788,0.038,RAC-alpha serine/threonine-protein kinase,NC[C@@](O)(c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1
ATUZABRUTINIB,539.615,0.368,Epidermal growth factor receptor erbB1,CC(C)(C)/C=C(\C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1
AUMOLERTINIB,525.657,0.00018,EGFR,CN(C)CCN(C)C1=CC(=C(C=C1NC(=O)C=C)NC2=NC=CC(=N2)C3=CN(C4=CC=CC=C43)C5CC5)OC
AVUTOMETINIB,471.47,0.019,Serine/threonine-protein kinase B-raf,CC1=C(C(=O)OC2=C1C=CC(=C2)OC3=NC=CC=N3)CC4=C(C(=NC=C4)NS(=O)(=O)NC)F
AZACITIDINE,244.207,0.63,A-427,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
AZD5363 RACEMATE,428.924,0.004,RAC-alpha serine/threonine-protein kinase,NC1(C(=O)NC(CCO)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1
Alvaradoins F,430.409,0.23,Col-2 cells,CC1=CC2=C(C(=C1)O)C(=O)C3=C([C@H]2[C@H]4[C@@H]([C@H]([C@H]([C@@H](O4)OC(=O)C)O)O)O)C=CC=C3O
Antofine,363.457,0.167,Human HepG cells,COC1=CC2=C(C=C1)C3=C(C[C@H]4CCCN4C3)C5=CC(=C(C=C52)OC)OC
Apigenin,270.24,0.025,CYP1B1 - cytochrome P450 family 1 subfamily B member 1,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
Apogossypolone,490.508,0.37,BCL2 - BCL2 apoptosis regulator,CC1=C(C(=O)C2=CC(=O)C(=O)C(=C2C1=O)C(C)C)C3=C(C4=CC(=C(C(=C4C(=C3C)O)C(C)C)O)O)O
Arctigenin,372.417,0.001,MAP2K1 - mitogen-activated protein kinase kinase 1,COC1=C(C=C(C=C1)C[C@H]2COC(=O)[C@@H]2CC3=CC(=C(C=C3)O)OC)OC
Ardisiphenol B,376.537,0.6,FM3A ,O(c1c(CCCCCCC/C=CCCCCCC)cc(O)cc1O)C(=O)C
BATABULIN,371.258,0.2,HBL-100,COc1ccc(NS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)cc1F
BATIMASTAT,477.652,0.00073,Matrix metalloproteinase 3,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)[C@H](CSc1cccs1)C(=O)NO
BAY-1125976,383.455,0.0009,RAC-alpha serine/threonine-protein kinase,NC(=O)c1ccc2nc(-c3ccc(C4(N)CCC4)cc3)c(-c3ccccc3)n2n1
BAY-549,402.792,1,RAC-alpha serine/threonine-protein kinase,Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12
BAY-8400,393.397,0.394,ATR - ATR checkpoint kinase,FC(F)c1cncc(-c2ccc3ncc4nnc(C5=CCCOCC5)n4c3c2)c1
