ChEMBL ID,SMILES,MW,IC50,Standard Units,Target ChEMBL ID,Target Name,IC50_nM
CHEMBL2216825,C[C@H]1O[C@@H]2CC(=O)O[C@@H]2C2=C1C(=O)c1c(ccc([C@H]3C[C@@H](N(C)C)[C@H](O)[C@@H](C)O3)c1O)C2=O,457.48,149.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,149.0
CHEMBL375486,Cn1cccc1-c1n[nH]c2cnc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12,424.51,228.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,228.0
CHEMBL225789,Nc1cc2[nH]nc(Cl)c2cc1-c1cncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)c1,432.92,7.1,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,7.1
CHEMBL225519,O=C1NCCc2[nH]c(-c3ccncc3)cc21,213.24,10000.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,10000.0
CHEMBL1760763,CCOCCN(C[C@@H](O)CN1CCCC2(CCN(c3ncncc3C3CC3)C2)C1)S(=O)(=O)c1c(C)cccc1C,571.79,740.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,740.0
CHEMBL1760764,CCOCCN(C[C@@H](O)CN1CCCC2(CCN(c3ncnc(N)c3C3CC3)C2)C1)S(=O)(=O)c1c(C)cccc1C,586.8,470.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,470.0
CHEMBL1760769,Cc1ccccc1S(=O)(=O)NC[C@@H](O)CN1CCC[C@@]2(CCN(c3ncnc(N)c3C3CC3)C2)C1,500.67,1200.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,1200.0
CHEMBL1760770,Nc1ncnc(N2CC[C@@]3(CCCN(C[C@H](O)CNS(=O)(=O)c4ccccc4F)C3)C2)c1C1CC1,504.63,14000.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,14000.0
CHEMBL208961,Cc1cc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc2ccncc12,408.51,995.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,995.0
CHEMBL3672481,CS(=O)(=O)c1ccc(-c2cnc3cc(-c4ccccc4)c(-c4ccc(C5(N)CCC5)cc4)nn23)cc1,494.62,110.0,nM,CHEMBL4282,RAC-alpha serine/threonine-protein kinase,110.0
