SMILES,pred_IC50,pIC50,P-gp_substrate,P-gp_I_inhibitor,P-gp_II_inhibitor,CYP2D6_substrate,CYP3A4_substrate,CYP1A2_inhibitor,CYP2C19_inhibitor,CYP2C9_inhibitor,AMES_toxicity,hERG_II_inhibitor,Hepatotoxicity,Skin_Sensitisation,sa_score
N#Cc1c(C2CCCNC2)cc(-c2c(O)cccc2OCc2ccccc2)nc1N,14.706884962822235,7.832479304615686,0,0,0,0,0,0,0,0,0,0,0,0,3.0696821434453474
CNC(=O)c1ccc(-c2nc3c(nc(NC)c4ncn(C)c43)s2)cc1,23.11602774711234,7.636086792903935,0,0,0,0,0,0,0,0,0,0,0,0,2.6198172166750187
Cn1nccc1-c1csc(C(=O)N[C@@H]2CNCC[C@H]2c2ccc(Cl)cc2)c1,46.23423885397545,7.335036287688909,0,0,0,0,0,0,0,0,0,0,0,0,3.394173734645128
O=S(=O)(c1ccc(-c2ccnc(Nc3ccc4ncsc4c3)n2)cc1)N1CCCC1,429.51505573535,6.36702160829797,0,0,0,0,0,0,0,0,0,0,0,0,2.359404102668261
Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccc5c(c4)OCO5)c3)cc12,31.099030739613568,7.507253146374997,0,0,0,0,0,0,0,0,0,0,0,0,3.0742847959652426
Clc1c[nH]c2ncnc(N3CCc4[nH]cnc4C3)c12,58.57882583239969,7.232259337666715,0,0,0,0,0,0,0,0,0,0,0,0,3.1435931742937475
c1ccc2c(c1)Nc1ncccc1-n1c(-c3ccc(CN4CCC(c5c[nH]c6ccccc56)CC4)cc3)nnc1-2,383.2421271025935,6.4165267580418055,0,0,0,0,0,0,0,0,0,0,0,0,2.7252744591579106
COc1cc2c(cc1Nc1nc(Nc3cccc4c3C(=O)NC4)c3cc[nH]c3n1)N(C(=O)CN(C)C)CC2,3.901202697038058,8.408801484213159,0,0,0,0,0,0,0,0,0,0,0,0,3.109199763640529
CN(c1ccc(-c2ccnc3[nH]ccc23)cc1)S(C)(=O)=O,241.83409840812374,6.6164824639945605,0,0,0,0,0,0,0,0,0,0,0,0,2.2983377534178295
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCCCNC[C@H](O)CO)c21,14.763537360469272,7.830809572589316,0,0,0,0,0,0,0,0,0,0,0,0,3.7983176949127966
c1ccc(-c2cc3cnccc3nc2-c2ccc(CN3CCC(c4n[nH]c(-c5ccccn5)n4)CC3)cc2)cc1,27.93061064907934,7.553919569181685,0,0,0,0,0,0,0,0,0,0,0,0,2.716341382234834
Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl,1.4804815763058832,8.829596992772133,0,0,0,0,0,0,0,0,0,0,0,0,3.151637648141995
COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,21.96688482370991,7.658231527048432,0,0,0,0,0,0,0,0,0,0,0,0,3.7523244459817278
N[C@H](Cc1cccc(Cl)c1)C(=O)N1CCN(c2ncnc3ccccc23)CC1,270.43844017003534,6.567931577644587,0,0,0,0,0,0,0,0,0,0,0,0,2.5804319831033897
NC(=O)c1cc(-c2ccccc2)cc2c(C3CCS(=O)(=O)CC3)c[nH]c12,88.41704777270283,7.053463990192748,0,0,0,0,0,0,0,0,0,0,0,0,2.49146316929734
Cc1ccnc(Cl)c1C(=O)Nc1ccc2c(c1)-c1c(c(C(N)=O)nn1-c1cccc(O)c1)CC2,916.0363091188179,6.038087311771642,0,0,0,0,0,0,0,0,0,0,0,0,2.738955611653786
CNC(=O)Nc1ccc(CNc2ncsc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)cn1,30.647694747407,7.513602186598488,0,0,0,0,0,0,0,0,0,0,0,0,2.8786565860138573
Cc1nc(N)nc2c1cc(-c1cnc3ccccc3c1)c(=O)n2[C@H]1CC[C@H](OCO)CC1,31.00696585925955,7.50854072892714,0,0,0,0,0,0,0,0,0,0,0,0,2.8273379965765386
N[C@H](CNc1nnc(-c2ccc3cnccc3c2)o1)Cc1ccc(C(F)(F)F)cc1,68.44361119895895,7.164667084425991,0,0,0,0,0,0,0,0,0,0,0,0,3.00724526108152
Cl.N#Cc1ccc(C2CCCc3cncn32)cc1,20.509346891879037,7.688048169264455,0,0,0,0,0,0,0,0,0,0,0,0,3.0780795828841248
CC(=O)c1ccc([C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)C(F)(F)C(F)(F)F)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1,0.06548419985954511,10.183863474688728,0,0,0,0,0,0,0,0,0,0,0,0,4.372116140606747
Cc1ccc(S(=O)(=O)NC[C@@H](O)CN2CCC[C@@]3(CCN(c4ncnc(N)c4C4CC4)C3)C2)c(C)c1,62.12100085519024,7.206761555802707,0,0,0,0,0,0,0,0,0,0,0,0,4.131866304587039
CS(=O)(=O)NCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,8.85987270285317,8.052572517937508,0,0,0,0,0,0,0,0,0,0,0,0,3.388089525746759
CNc1nc2ccsc2n2c(C)cnc12,409.02992075744424,6.388244921957043,0,0,0,0,0,0,0,0,0,0,0,0,2.9909034229184073
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,8.003529118709883,8.096718470655722,0,0,0,0,0,0,0,0,0,0,0,0,4.125297661526227
CCN(C[C@H](NC(=O)c1ccc2[nH]c(-c3ccncc3)nc2c1)C(=O)O)c1ccccc1,72.52098408226456,7.139536311325046,0,0,0,0,0,0,0,0,0,0,0,0,2.8549995959239904
Cc1nnc(-c2ccccc2Nc2ncnc3[nH]ccc23)[nH]1,171.41276550126014,6.765956838303636,0,0,0,0,0,0,0,0,0,0,0,0,2.8518414636956315
N=C(c1ccccc1)n1c(=N)ccc2nc(-c3ccc(C4(N)CCC4)cc3)c(-c3ccccc3)cc21,6.419688591603164,8.192486038321881,0,0,0,0,0,0,0,0,0,0,0,0,2.845328559167445
CC(C)NC[C@@H](C(=O)N1CCC(c2ncnc3c2[C@H](C)CC(=O)N3)CC1)c1ccc(Cl)cc1,424.1756508814301,6.372454265077684,0,0,0,0,0,0,0,0,0,0,0,0,3.603324073024849
C[C@]12CC[C@H](O)C[C@@]1(O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,326.8774483917681,6.485615040804935,0,0,0,0,0,0,0,0,0,0,0,0,4.652836226371551
C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,243.62380764422738,6.613280273414803,0,0,0,0,0,0,0,0,0,0,0,0,2.2672292512168255
Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,89.12353661070352,7.050007588103489,0,0,0,0,0,0,0,0,0,0,0,0,2.5704416960507572
COc1c(O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O,385.584577107481,6.413880345648542,0,0,0,0,0,0,0,0,0,0,0,0,2.389306207123706
O=C(CCCCCCC(=O)Nc1ccccc1)NO,466.60792263976543,6.331047891497,0,0,0,0,0,0,0,0,0,0,0,0,1.6946181742937476
Cc1cc2nc(-c3cccnc3N)n(-c3ccc(CN)cc3)c2nc1C.Cl,477.1154025214276,6.321376563063607,0,0,0,0,0,0,0,0,0,0,0,0,2.558002269530329
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(Cl)cc4)c3)cc2s1,14.064858451077178,7.851864634222238,0,0,0,0,0,0,0,0,0,0,0,0,2.366596011294705
Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(C#Cc4cccnc4)ccc3ncc21,46.864647257813125,7.329154647485722,0,0,0,0,0,0,0,0,0,0,0,0,2.889521933025714
CCCCCCC=CCCCCCCCc1cc(O)cc(O)c1OC(C)=O,363.00162506454774,6.440091430735276,0,0,0,0,0,0,0,0,0,0,0,0,2.552161791797536
CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,203.07990535374915,6.69233304767217,0,0,0,0,0,0,0,0,0,0,0,0,2.576725251600516
CCOc1cc(NCCN2CCCC2)c(C)c(N2CCN(c3ncnc4[nH]nc(Br)c34)CC2)c1,42.70445370213831,7.369526829485558,0,0,0,0,0,0,0,0,0,0,0,0,2.939923749765674
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,2.407992617469529,8.61834484889144,0,0,0,0,0,0,0,0,0,0,0,0,2.5442944866936674
O=C(CCCn1[se]c2ccccc2c1=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,358.3182463995498,6.445731075984396,0,0,0,0,0,0,0,0,0,0,0,0,4.2533280008307575
CN(C)CCNC(=O)c1ccc(-c2cnc3ccc(NCC4CC4)nn23)cc1F,48.65033593569211,7.31291415653615,0,0,0,0,0,0,0,0,0,0,0,0,2.5607774918776975
CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,273.2022879074561,6.563515668016044,0,0,0,0,0,0,0,0,0,0,0,0,2.8372388464683347
CC(=O)NCc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1,50.49045354236572,7.296790728134736,0,0,0,0,0,0,0,0,0,0,0,0,2.5743992692266158
